column_name,xpath
result_indicator_period_target_location_exactness_code,/iati-activities/iati-activity/result/indicator/period/target/location/exactness/@code
result_indicator_period_target_location_exactness,/iati-activities/iati-activity/result/indicator/period/target/location/exactness/text()
result_indicator_period_target_location_location_class_code,/iati-activities/iati-activity/result/indicator/period/target/location/location-class/@code
result_indicator_period_target_location_location_class,/iati-activities/iati-activity/result/indicator/period/target/location/location-class/text()
result_indicator_period_target_location_feature_designation_code,/iati-activities/iati-activity/result/indicator/period/target/location/feature-designation/@code
result_indicator_period_target_location_feature_designation,/iati-activities/iati-activity/result/indicator/period/target/location/feature-designation/text()
result_indicator_period_target_dimension_name,/iati-activities/iati-activity/result/indicator/period/target/dimension/@name
result_indicator_period_target_dimension_value,/iati-activities/iati-activity/result/indicator/period/target/dimension/@value
result_indicator_period_target_dimension,/iati-activities/iati-activity/result/indicator/period/target/dimension/text()
result_indicator_period_target_comment,/iati-activities/iati-activity/result/indicator/period/target/comment/text()
result_indicator_period_target_document_link,/iati-activities/iati-activity/result/indicator/period/target/document-link/text()
result_indicator_period_actual_value,/iati-activities/iati-activity/result/indicator/period/actual/@value
result_indicator_period_actual_location_ref,/iati-activities/iati-activity/result/indicator/period/actual/location/@ref
result_indicator_period_actual_location_location_reach_code,/iati-activities/iati-activity/result/indicator/period/actual/location/location-reach/@code
result_indicator_period_actual_location_location_reach,/iati-activities/iati-activity/result/indicator/period/actual/location/location-reach/text()
result_indicator_period_actual_location_location_id_code,/iati-activities/iati-activity/result/indicator/period/actual/location/location-id/@code
result_indicator_period_actual_location_location_id_vocabulary,/iati-activities/iati-activity/result/indicator/period/actual/location/location-id/@vocabulary
result_indicator_period_actual_location_location_id,/iati-activities/iati-activity/result/indicator/period/actual/location/location-id/text()
result_indicator_period_actual_location_name_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/period/actual/location/name/narrative/@xml:lang
result_indicator_period_actual_location_name_narrative,/iati-activities/iati-activity/result/indicator/period/actual/location/name/narrative/text()
result_indicator_period_actual_location_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/period/actual/location/description/narrative/@xml:lang
result_indicator_period_actual_location_description_narrative,/iati-activities/iati-activity/result/indicator/period/actual/location/description/narrative/text()
result_indicator_period_actual_location_activity_description_narrative_xml:lang,/iati-activities/iati-activity/result/indicator/period/actual/location/activity-description/narrative/@xml:lang
result_indicator_period_actual_location_activity_description_narrative,/iati-activities/iati-activity/result/indicator/period/actual/location/activity-description/narrative/text()
result_indicator_period_actual_location_administrative_code,/iati-activities/iati-activity/result/indicator/period/actual/location/administrative/@code
result_indicator_period_actual_location_administrative_vocabulary,/iati-activities/iati-activity/result/indicator/period/actual/location/administrative/@vocabulary
result_indicator_period_actual_location_administrative_level,/iati-activities/iati-activity/result/indicator/period/actual/location/administrative/@level
result_indicator_period_actual_location_administrative,/iati-activities/iati-activity/result/indicator/period/actual/location/administrative/text()
result_indicator_period_actual_location_point_srsName,/iati-activities/iati-activity/result/indicator/period/actual/location/point/@srsName
result_indicator_period_actual_location_point_pos,/iati-activities/iati-activity/result/indicator/period/actual/location/point/pos/text()
result_indicator_period_actual_location_exactness_code,/iati-activities/iati-activity/result/indicator/period/actual/location/exactness/@code
result_indicator_period_actual_location_exactness,/iati-activities/iati-activity/result/indicator/period/actual/location/exactness/text()
result_indicator_period_actual_location_location_class_code,/iati-activities/iati-activity/result/indicator/period/actual/location/location-class/@code
result_indicator_period_actual_location_location_class,/iati-activities/iati-activity/result/indicator/period/actual/location/location-class/text()
result_indicator_period_actual_location_feature_designation_code,/iati-activities/iati-activity/result/indicator/period/actual/location/feature-designation/@code
result_indicator_period_actual_location_feature_designation,/iati-activities/iati-activity/result/indicator/period/actual/location/feature-designation/text()
result_indicator_period_actual_dimension_name,/iati-activities/iati-activity/result/indicator/period/actual/dimension/@name
result_indicator_period_actual_dimension_value,/iati-activities/iati-activity/result/indicator/period/actual/dimension/@value
result_indicator_period_actual_dimension,/iati-activities/iati-activity/result/indicator/period/actual/dimension/text()
result_indicator_period_actual_comment,/iati-activities/iati-activity/result/indicator/period/actual/comment/text()
result_indicator_period_actual_document_link,/iati-activities/iati-activity/result/indicator/period/actual/document-link/text()
crs_add_other_flags_code,/iati-activities/iati-activity/crs-add/other-flags/@code
crs_add_other_flags_significance,/iati-activities/iati-activity/crs-add/other-flags/@significance
